HERD AREA NAME,Herd Code ,HERD AREA BLM Acres,,HERD MANAGEMENT AREA  BLM Acres ,HERD MANAGEMENT AREA Total Acres,Horse AML Low End,Horse AML High End,Horse Pop,% AML Horse,Burro AML Low End,Burro AML High End,Burro Pop,Burro % of AML,Population Inventory,Most Recent Gather,Most Recent Year at AML
WHEELER PASS**,NV0507,273260,276904,273260,276904,66,,40,,35,,27,,,January 2008,2008
WHISTLER MOUNTAIN,NV0608,42664,43246,42664,43246,24,,31,,0,,0,,,January 2008,2008
HICKISON SUMMIT*,NV0610,63334,63334,63334,63334,0,,0,,45,,64,,,,
MONTGOMERY PASS*,NV0317,76331,79203,47424,49063,,,66,,0,,0,,,,
NORTH MONITOR*,NV0611,11277,11512,11277,11512,8,,11,,0,,0,,,February 2006,2006
ANTELOPE RANGE,NV0211,82068,131583,,,,,0,,,,0,,,October 1999,
APPLEWHITE,NV0518,30641,30969,,,,,7,,,,0,,,,
AUSTIN (in NV0604),NV0687,0,0,,,,,0,,,,0,,,,
BLOODY RUNS,NV0204,44876,74079,,,,,0,,,,0,,,October 1996,
BLUE DIAMOND (in NV0525),NV0505,,0,,,,,0,,,,0,,,,
BLUE NOSE PEAK,NV0514,84622,84788,,,,,7,,,,0,,,January 1993,
BUCK-BALD**( in Triple B),NV0403,825611,838925,,,,,0,,,,0,,,August 2006,
BULTER BASIN*,NV0686,10342,10345,,,,,0,,,,0,,,,
BUTTE (in Triple B),NV0407,436712,443959,,,,,0,,,,0,,,August 2006,
CAVE VALLEY (in NV0410),NV0493,0,0,,,,,0,,,,0,,,,
CHERRY CREEK  (part in Triple B),NV0406,35744,37275,,,,,0,,,,0,,,February 1987,
CLOVER CREEK,NV0517,33235,33420,,,,,44,,,,0,,,,
CLOVER MOUNTAINS,NV0516,172398,173087,,,,,59,,,,0,,,February 2006,
DEER LODGE CANYON (in Eagle),NV0521,106735,108460,,,,,0,,,,0,,,March 2007,
DELAMAR MOUNTAINS,NV0515,184404,185844,,,,,76,,,,0,,,February 2006,
DOBBIN SUMMIT***,NV0615,19189,19307,,,,,0,,,,0,,,,
DRY LAKE (in Silver King),NV0410,491675,494371,,,,,0,,,,0,,,December 2006,
DUNLAP (in NV0314),NV0690,4296,4296,,,,,0,,,,0,,,,
EAST RANGE,NV0225,321615,451901,,,,,28,,,,0,,,November 2001,
EUGENE MOUNTAINS,NV0207,49197,86093,,,,,0,,,,0,,,June 1993,
FORTIFICATION (in NV0404),NV0496,0,0,,,,,0,,,,0,,,,
GABBS VALLEY RANGE (in NV314),NV0315,0,0,,,,,0,,,,0,,,November 1987,
GOLDEN GATE (in NV0411),NV0494,0,0,,,,,0,,,,0,,,,
GOSHUTE (in NV0401),NV0495,0,0,,,,,0,,,,0,,,,
GRASS VALLEY (in NV0604),NV0689,0,0,,,,,0,,,,0,,,,
HIGHLAND PEAK (part of Silver King),NV0522,136090,137875,,,,,0,,,,0,,,December 2006,
HORSE SPRING,NV0307,15280,25695,,,,,0,,,,0,,,July 2000,
HOT SPRINGS MOUNTAINS,NV0203,47870,68179,,,,,0,,,,15,,,,
HUMBOLDT,NV0224,217069,431550,,,,,44,,,,0,,,July 1993,
IONE,NV0691,168434,168974,,,,,0,,,,0,,,,
JAKES WASH**,NV0408,153662,153662,,,,,81,,,,0,,,August 2007,
KOBEH VALLEY (in NV0608 & NV0612),NV0698,29065,30982,,,,,0,,,,0,,,,
KRUM HILLS,NV0206,34793,64192,,,,,0,,,,0,,,December 1985,
LAST CHANCE (in NV0510),NV0527,6352,28943,,,,,0,,,,0,,,,
LITTLE MOUNTAIN,NV0519,53035,53257,,,,,9,,,,0,,,September 2008,
LOWER PARADISE VALLEY,NV0233,17327,44895,,,,,0,,,,0,,,,
LUCKY STRIKE (in NV0525),NV0526,,0,,,,,0,,,,0,,,,
MEADOW VALLEY MOUNTAINS,NV0513,94519,97449,,,,,7,,,,0,,,February 2006,
MAVRICK-BUTTE (in NV0403),NV0491,0,0,,,,,0,,,,0,,,,
MILLER FLAT,NV0520,91751,91988,,,,,14,,,,0,,,September 2008,
MONTE CRISTO**,NV0402,372653,378263,,,,,0,,,,0,,,January 2006,
MORIAH**,NV0413,43375,43375,,,,,50,,,,0,,,October 2007,
MORMON MOUNTAINS,NV0512,136558,136988,,,,,0,,,,0,,,January 1998,
MOUNT AIRY,NV0695,64801,67573,,,,,20,,,,0,,,,
MOUNT POTOSI (in NV0525),NV0506,,,,,,,0,,,,0,,,,
MOUNT STERLING (in NV0510),NV0508,33865,34419,,,,,0,,,,0,,,March 1999,
MURPHYS WASH,NV0452,171084,171926,,,,,0,,,,0,,,,
NORTH CHERRY CREEK (in NV0105 & NV0107),NV0106,0,0,,,,,0,,,,0,,,December 1996,
NORTH SHOSHONE,NV0697,102888,175135,,,,,0,,,,0,,,,
OSGOOD MOUNTAINS,NV0202,87394,142122,,,,,0,,,,0,,,,
PAH RAH MOUNTAINS,NV0304,11513,23522,,,,,0,,,,0,,,August 1985,
PARK MOUNTAIN,NV0694,32255,32314,,,,,0,,,,0,,,,
PATTERSON-EAGLE (in NV0404),NV0492,0,0,,,,,0,,,,0,,,,
POWELL MOUNTAIN*,NV0318,26705,30071,,,,,0,,,,0,,,,
QUINN***,NV0696,103973,105708,,,,,0,,,,0,,,,
RATTLESNAKE,NV0523,71433,71433,,,,,0,,,,0,,,December 2006,
SAND SPRINGS EAST,NV0405,481220,481725,,,,,0,,,,0,,,February 2006,
SCHELL CREEK (in NV0401),NV0490,0,0,,,,,0,,,,0,,,,
SEAMAN RANGE,NV0411,359351,361235,,,,,152,,,,0,,,September 1996,
SELENITE RANGE,NV0212,122630,125306,,,,,0,,,,1,,,December 2005,
SLUMBERING HILLS,NV0205,46008,46455,,,,,0,,,,0,,,,
